codigo;data;fonte;area_ha
FPB-MT-S-16.0993W-59.2537;31/12/2013;prodes;0
FPB-MT-S-15.9295W-59.9571;31/12/2013;prodes;0
FPB-AC-S-9.0335W-70.1918;31/12/2013;prodes;0
FPB-AC-S-8.4296W-71.935;31/12/2013;prodes;0
FPB-AC-S-7.9833W-73.4451;31/12/2013;prodes;0
FPB-AC-S-7.2172W-73.6413;31/12/2013;prodes;0
FPB-AC-S-9.1354W-69.6219;31/12/2013;prodes;0
FPB-AC-S-8.9127W-69.937;31/12/2013;prodes;0
FPB-AM-S-8.4485W-67.2104;31/12/2013;prodes;0
FPB-AM-S-6.5131W-66.4621;31/12/2013;prodes;0
FPB-AM-S-5.0944W-69.5086;31/12/2013;prodes;0
FPB-AM-S-4.5107W-69.3578;31/12/2013;prodes;0
FPB-AM-S-4.7112W-71.2755;31/12/2013;prodes;0
FPB-AM-S-8.406W-66.9235;31/12/2013;prodes;0
FPB-AM-S-7.2364W-73.2656;31/12/2013;prodes;0
FPB-AM-S-7.2954W-73.2206;31/12/2013;prodes;0
FPB-AM-S-5.9917W-67.9689;31/12/2013;prodes;0
FPB-AM-S-4.209W-66.3211;31/12/2013;prodes;0
FPB-AM-S-4.2238W-68.101;31/12/2013;prodes;0
FPB-AM-S-4.1547W-69.7129;31/12/2013;prodes;0
FPB-AM-S-7.8016W-64.9892;31/12/2013;prodes;0
FPB-AM-S-6.7556W-62.7365;31/12/2013;prodes;0
FPB-AM-S-6.7969W-62.7067;31/12/2013;prodes;0
FPB-AM-S-7.8452W-63.5082;31/12/2013;prodes;0
FPB-AM-S-6.12W-62.1526;31/12/2013;prodes;0
FPB-AM-S-6.4548W-61.4623;31/12/2013;prodes;0
FPB-AM-S-5.7125W-63.5046;31/12/2013;prodes;0
FPB-AM-S-5.7792W-63.3428;31/12/2013;prodes;0
FPB-AM-S-6.7328W-61.1622;31/12/2013;prodes;0
FPB-AM-S-4.5748W-59.605;31/12/2013;prodes;0
FPB-AM-S-7.7872W-63.0178;31/12/2013;prodes;0
FPB-AM-S-7.7687W-62.952;31/12/2013;prodes;0
FPB-AM-S-5.8473W-62.5633;31/12/2013;prodes;0
FPB-AM-S-7.1971W-62.8067;31/12/2013;prodes;0
FPB-AM-S-5.3514W-63.2924;31/12/2013;prodes;0
FPB-AM-S-4.2356W-59.583;31/12/2013;prodes;0
FPB-AM-S-4.294W-61.0391;31/12/2013;prodes;0
FPB-AM-S-6.5519W-62.4743;31/12/2013;prodes;0
FPB-AM-S-6.51W-62.3719;31/12/2013;prodes;0
FPB-AM-S-4.002W-60.6549;31/12/2013;prodes;0
FPB-AM-S-3.9532W-62.2411;31/12/2013;prodes;0
FPB-MT-S-10.6104W-61.3882;31/12/2013;prodes;0
FPB-MT-S-10.4039W-58.9168;31/12/2013;prodes;0
FPB-AM-S-3.2547W-68.094;31/12/2013;prodes;0
FPB-AM-S-2.8821W-68.9849;31/12/2013;prodes;0
FPB-AM-S-2.0985W-67.3672;31/12/2013;prodes;0
FPB-AM-S-1.7641W-59.4169;31/12/2013;prodes;0
FPB-AM-S-0.728W-59.3196;31/12/2013;prodes;0
FPB-AM-S-0.7505W-59.8889;31/12/2013;prodes;0
FPB-AM-S-1.5716W-58.3568;31/12/2013;prodes;0
FPB-AM-S-2.7589W-57.1202;31/12/2013;prodes;0
FPB-AM-S-1.5418W-58.7971;31/12/2013;prodes;0
FPB-AM-S-3.1111W-57.426;31/12/2013;prodes;0
FPB-AM-S-2.5914W-59.3626;31/12/2013;prodes;0
FPB-AM-S-2.0688W-58.3261;31/12/2013;prodes;0
FPB-AM-S-3.1529W-59.7162;31/12/2013;prodes;0
FPB-AM-S-1.7336W-61.3491;31/12/2013;prodes;0
FPB-AM-S-2.6026W-57.1636;31/12/2013;prodes;0
FPB-AM-S-1.3823W-59.9903;31/12/2013;prodes;0
FPB-AM-S-2.1199W-60.2781;31/12/2013;prodes;0
FPB-AM-S-3.015W-58.0688;31/12/2013;prodes;0
FPB-AM-S-3.1175W-64.0425;31/12/2013;prodes;0
FPB-AM-S-1.4718W-61.9539;31/12/2013;prodes;0
FPB-AM-S-2.2981W-59.2349;31/12/2013;prodes;0
FPB-AM-S-1.5799W-59.937;31/12/2013;prodes;0
FPB-AM-S-2.7823W-57.7156;31/12/2013;prodes;0
FPB-AM-S-2.9639W-64.7512;31/12/2013;prodes;0
FPB-RR-N3.5732W-61.2378;31/12/2013;prodes;0
FPB-RR-N1.4348W-60.6419;31/12/2013;prodes;0
FPB-RR-N0.0387W-60.8116;31/12/2013;prodes;0
FPB-RR-N1.3528W-61.0182;31/12/2013;prodes;0
FPB-PA-S-3.3552W-48.1887;31/12/2013;prodes;0
FPB-AP-N1.9827W-50.9528;31/12/2013;prodes;0
FPB-AP-N1.4205W-50.7063;31/12/2013;prodes;0
FPB-AP-N2.3199W-50.8977;31/12/2013;prodes;0
FPB-AP-N2.798W-51.1408;31/12/2013;prodes;0
FPB-AP-N2.63W-50.9831;31/12/2013;prodes;0
FPB-AP-N1.2235W-50.5531;31/12/2013;prodes;0
FPB-AP-N0.557W-50.5482;31/12/2013;prodes;0
FPB-AP-N1.827W-50.7075;31/12/2013;prodes;0
FPB-AP-N1.0202W-50.4453;31/12/2013;prodes;0
FPB-PA-S-2.8287W-55.8578;31/12/2013;prodes;0
FPB-PA-S-1.7821W-47.6592;31/12/2013;prodes;0
FPB-PA-S-1.8645W-46.7835;31/12/2013;prodes;0
FPB-AM-S-7.5488W-65.1028;31/12/2013;prodes;0
FPB-AM-S-2.9606W-67.9193;31/12/2013;prodes;0
FPB-AM-S-3.1544W-69.4948;31/12/2013;prodes;0
FPB-AM-S-3.5519W-68.8872;31/12/2013;prodes;0
FPB-AM-S-5.3174W-64.871;31/12/2013;prodes;0
FPB-AM-S-3.5687W-66.1258;31/12/2013;prodes;0
FPB-AM-S-4.6668W-64.936;31/12/2013;prodes;0
FPB-AM-S-3.7469W-64.8194;31/12/2013;prodes;0
FPB-AM-S-3.8292W-59.2241;31/12/2013;prodes;0
FPB-AM-S-1.7902W-65.7724;31/12/2013;prodes;0
FPB-AM-S-1.3886W-64.052;31/12/2013;prodes;0
FPB-AM-S-0.9584W-64.5718;31/12/2013;prodes;0
FPB-PA-S-1.8023W-56.0545;31/12/2013;prodes;0
FPB-PA-S-3.5304W-47.1279;31/12/2013;prodes;0
FPB-PA-S-2.6308W-46.9036;31/12/2013;prodes;0
FPB-AM-S-3.0953W-60.877;31/12/2013;prodes;1
FPB-AC-S-7.6659W-72.0563;31/12/2013;prodes;3
FPB-AC-S-7.9561W-70.8928;31/12/2013;prodes;3
FPB-MT-S-10.1675W-59.5244;31/12/2013;prodes;3
FPB-AM-S-1.9051W-66.9482;31/12/2013;prodes;3
FPB-AM-S-2.6082W-66.4238;31/12/2013;prodes;3
FPB-AM-S-3.785W-60.1765;31/12/2013;prodes;3
FPB-RR-N4.0735W-61.572;31/12/2013;prodes;4
FPB-PA-S-3.1222W-54.8833;31/12/2013;prodes;4
FPB-RO-S-9.5982W-65.5162;31/12/2013;prodes;4
FPB-AC-S-8.4459W-69.5931;31/12/2013;prodes;5
FPB-AM-S-6.5087W-62.8196;31/12/2013;prodes;5
FPB-AM-S-5.7393W-61.4381;31/12/2013;prodes;5
FPB-AM-S-4.444W-61.0816;31/12/2013;prodes;5
FPB-AM-S-3.9787W-60.623;31/12/2013;prodes;5
FPB-AM-S-2.9307W-59.2429;31/12/2013;prodes;5
FPB-AM-S-3.4186W-64.2616;31/12/2013;prodes;5
FPB-AM-S-6.6992W-58.9807;31/12/2013;prodes;6
FPB-AP-N0.0131W-51.5369;31/12/2013;prodes;6
FPB-PA-S-3.2712W-54.324;31/12/2013;prodes;6
FPB-AM-S-4.4182W-65.1428;31/12/2013;prodes;6
FPB-AM-S-3.5648W-59.8566;31/12/2013;prodes;6
FPB-AM-S-4.0824W-60.8462;31/12/2013;prodes;6
FPB-AM-S-5.8922W-66.7909;31/12/2013;prodes;7
FPB-AM-S-5.0176W-66.2081;31/12/2013;prodes;7
FPB-AM-S-8.3431W-61.2785;31/12/2013;prodes;7
FPB-AM-S-3.2324W-57.3117;31/12/2013;prodes;7
FPB-AM-S-2.8007W-59.4013;31/12/2013;prodes;7
FPB-AM-S-2.9597W-63.5628;31/12/2013;prodes;7
FPB-AM-S-8.7423W-67.6126;31/12/2013;prodes;8
FPB-AM-S-7.4225W-63.2687;31/12/2013;prodes;8
FPB-AM-S-5.9042W-60.9997;31/12/2013;prodes;8
FPB-AM-S-4.2738W-62.6302;31/12/2013;prodes;8
FPB-AM-S-2.814W-59.9608;31/12/2013;prodes;8
FPB-AM-S-0.2288W-62.9915;31/12/2013;prodes;8
FPB-PA-S-3.6128W-48.2208;31/12/2013;prodes;8
FPB-AM-S-3.6007W-67.8791;31/12/2013;prodes;8
FPB-AM-S-9.4722W-67.1169;31/12/2013;prodes;9
FPB-AM-S-5.3665W-61.6652;31/12/2013;prodes;9
FPB-AM-S-3.7902W-64.5098;31/12/2013;prodes;9
FPB-AM-S-2.5827W-61.9012;31/12/2013;prodes;9
FPB-PA-S-3.7854W-47.2716;31/12/2013;prodes;9
FPB-PA-S-2.3615W-53.966;31/12/2013;prodes;9
FPB-AM-S-3.6612W-66.4907;31/12/2013;prodes;9
FPB-AM-S-4.4465W-70.1384;31/12/2013;prodes;10
FPB-AM-S-2.8537W-65.7212;31/12/2013;prodes;10
FPB-AP-N0.5317W-51.1657;31/12/2013;prodes;10
FPB-MT-S-15.6981W-57.6094;31/12/2013;prodes;11
FPB-AM-S-4.7838W-66.845;31/12/2013;prodes;11
FPB-PA-S-3.862W-49.8806;31/12/2013;prodes;11
FPB-AM-S-3.5227W-58.5425;31/12/2013;prodes;11
FPB-AM-S-4.2282W-61.6039;31/12/2013;prodes;11
FPB-AM-S-4.8207W-63.5793;31/12/2013;prodes;12
FPB-RR-N0.1668W-60.5735;31/12/2013;prodes;12
FPB-PA-S-2.6333W-54.4106;31/12/2013;prodes;12
FPB-AM-S-3.5738W-63.5938;31/12/2013;prodes;12
FPB-AM-S-6.4941W-64.4431;31/12/2013;prodes;13
FPB-AM-S-7.343W-64.6674;31/12/2013;prodes;13
FPB-MT-S-10.287W-61.3468;31/12/2013;prodes;13
FPB-AM-S-7.5116W-63.6839;31/12/2013;prodes;14
FPB-AM-S-3.5004W-60.1255;31/12/2013;prodes;14
FPB-AP-N0.9254W-51.0622;31/12/2013;prodes;14
FPB-PA-S-5.7879W-57.5763;31/12/2013;prodes;15
FPB-AM-S-1.7113W-60.1885;31/12/2013;prodes;15
FPB-AM-S-3.6609W-64.3294;31/12/2013;prodes;16
FPB-AP-N1.5372W-51.081;31/12/2013;prodes;17
FPB-AP-N1.0194W-50.193;31/12/2013;prodes;17
FPB-MT-S-15.6815W-59.7374;31/12/2013;prodes;18
FPB-AM-S-5.9608W-61.4272;31/12/2013;prodes;18
FPB-AM-S-7.897W-63.2239;31/12/2013;prodes;19
FPB-PA-S-2.9816W-54.4779;31/12/2013;prodes;19
FPB-AM-S-4.5916W-64.0502;31/12/2013;prodes;20
FPB-AM-S-4.0903W-63.9653;31/12/2013;prodes;20
FPB-PA-S-4.3815W-49.1295;31/12/2013;prodes;20
FPB-AM-S-5.7798W-68.7859;31/12/2013;prodes;21
FPB-AM-S-6.8028W-64.4254;31/12/2013;prodes;22
FPB-AM-S-3.2028W-57.9149;31/12/2013;prodes;22
FPB-PA-S-2.8646W-54.8792;31/12/2013;prodes;23
FPB-AM-S-2.8381W-58.3316;31/12/2013;prodes;24
FPB-PA-S-2.8422W-53.3504;31/12/2013;prodes;24
FPB-AM-S-6.1745W-65.2597;31/12/2013;prodes;24
FPB-AM-S-7.6217W-62.694;31/12/2013;prodes;25
FPB-AM-S-6.5308W-64.1355;31/12/2013;prodes;25
FPB-AM-S-3.498W-58.9215;31/12/2013;prodes;25
FPB-AP-N0.2448W-51.263;31/12/2013;prodes;25
FPB-AM-S-3.9308W-59.6941;31/12/2013;prodes;25
FPB-PA-S-7.0044W-56.8452;31/12/2013;prodes;26
FPB-AM-S-9.0183W-68.1612;31/12/2013;prodes;27
FPB-AP-N1.0271W-51.9438;31/12/2013;prodes;27
FPB-AP-N3.0979W-51.4163;31/12/2013;prodes;28
FPB-AM-S-3.8956W-58.6798;31/12/2013;prodes;28
FPB-AM-S-8.5549W-67.2364;31/12/2013;prodes;29
FPB-PA-S-2.8102W-54.6726;31/12/2013;prodes;29
FPB-AM-S-3.1462W-66.8742;31/12/2013;prodes;29
FPB-AM-S-8.862W-68.5628;31/12/2013;prodes;30
FPB-AM-S-3.7815W-61.9882;31/12/2013;prodes;31
FPB-AM-S-5.5348W-62.9474;31/12/2013;prodes;32
FPB-AM-S-7.3001W-64.743;31/12/2013;prodes;32
FPB-RO-S-11.6602W-62.2464;31/12/2013;prodes;32
FPB-AM-S-2.835W-57.1324;31/12/2013;prodes;32
FPB-AM-S-0.9961W-63.1165;31/12/2013;prodes;32
FPB-PA-S-4.1759W-55.4796;31/12/2013;prodes;32
FPB-AM-S-8.7224W-67.1438;31/12/2013;prodes;33
FPB-PA-S-2.8031W-56.3915;31/12/2013;prodes;33
FPB-AM-S-3.5851W-60.94;31/12/2013;prodes;33
FPB-AM-S-7.2888W-72.7266;31/12/2013;prodes;34
FPB-AM-S-8.9058W-64.3545;31/12/2013;prodes;34
FPB-RO-S-8.3334W-63.7483;31/12/2013;prodes;34
FPB-RO-S-11.0793W-64.7611;31/12/2013;prodes;34
FPB-AM-S-4.5311W-60.0768;31/12/2013;prodes;35
FPB-AM-S-2.9383W-59.2593;31/12/2013;prodes;36
FPB-AM-S-3.3524W-62.6564;31/12/2013;prodes;36
FPB-RO-S-10.4034W-61.973;31/12/2013;prodes;37
FPB-RR-N2.4091W-60.2754;31/12/2013;prodes;38
FPB-AP-N3.9191W-51.6981;31/12/2013;prodes;39
FPB-AM-S-3.551W-59.7993;31/12/2013;prodes;39
FPB-PA-S-2.335W-48.336;31/12/2013;prodes;40
FPB-AM-S-3.3461W-64.8939;31/12/2013;prodes;41
FPB-AM-S-5.5148W-60.2736;31/12/2013;prodes;42
FPB-RO-S-11.2679W-61.016;31/12/2013;prodes;42
FPB-AM-S-2.9857W-61.2394;31/12/2013;prodes;42
FPB-RO-S-9.8211W-66.6662;31/12/2013;prodes;43
FPB-PA-S-4.6247W-48.3246;31/12/2013;prodes;43
FPB-PA-S-1.8943W-48.3307;31/12/2013;prodes;44
FPB-PA-S-3.7611W-51.7966;31/12/2013;prodes;46
FPB-PA-S-3.6233W-47.6257;31/12/2013;prodes;47
FPB-RO-S-8.9243W-64.251;31/12/2013;prodes;50
FPB-AM-S-2.2903W-57.7477;31/12/2013;prodes;51
FPB-AM-S-1.8203W-60.441;31/12/2013;prodes;51
FPB-AM-S-3.7522W-61.7006;31/12/2013;prodes;52
FPB-AM-S-3.3437W-58.2378;31/12/2013;prodes;53
FPB-AP-N0.595W-50.6731;31/12/2013;prodes;53
FPB-PA-S-1.821W-47.9058;31/12/2013;prodes;53
FPB-AM-S-4.1967W-62.9705;31/12/2013;prodes;54
