codigo;fpnd_area_ha;carbono_estoque_ton;carbono_densidade_ton_ha;carbono_equivalencia_co2_ton_ha;especie_diversidade_media;car_sobreposicao_fpnd_ha;car_sobreposicao_fpnd_per;mineracao_area_ha;floresta_original_area_ha;floresta_atual_area_ha;floresta_atual_area_per;desmatamento_area_ha
FPB-AC-S-7.2172W-73.6413;29736.012912;5060926.96340931;176.498259;18573601.96;27.56635672;28804;96.9;0;28674;28674;100;0
FPB-AC-S-7.6659W-72.0563;39502.107422;6252926.97821787;159.607457;22948242.01;32.85253165;35416;89.7;0;39506;39177;99;329
FPB-AC-S-7.8956W-70.5117;88691.507013;17447020.7965675;207.882001;64030566.32;32.502391;41234;46.5;0;88392;83928;95;4465
FPB-AC-S-7.9561W-70.8928;16752.339376;3077621.89432308;195.489463;11294872.35;32.25667656;4581;27.3;0;16756;15743;94;1013
FPB-AC-S-7.9833W-73.4451;15157.35824;2277379.43509275;150.750445;8357982.527;32.60983607;9238;60.9;0;15158;15107;100;51
FPB-AC-S-8.0614W-70.1714;10597.314931;1724825.36359368;210.749607;6330109.084;34.17096019;6494;61.3;0;10586;8184;77;2402
FPB-AC-S-8.0625W-70.928;10171.090469;1016617.650165;189.717025;3730986.776;33;8081;79.5;0;10190;5359;53;4831
FPB-AC-S-8.1843W-69.8167;87571.971414;16354576.5400989;199.080306;60021295.9;31.70099857;61705;70.5;0;87528;82151;94;5377
FPB-AC-S-8.4296W-71.935;18424.86984;2696346.83721519;146.355497;9895592.893;33.91322314;376;2;0;18425;18423;100;1
FPB-AC-S-8.4459W-69.5931;85507.132805;14530073.6463794;173.271567;53325370.28;29.62835473;81247;95;0;85509;83857;98;1652
FPB-AC-S-8.5635W-69.4531;70321.870601;10262010.1942857;155.100987;37661577.41;28.30566441;39010;55.5;0;70327;66163;94;4164
FPB-AC-S-8.7347W-69.137;50462.008023;7186317.49086102;153.378587;26373785.19;28.29511466;37758;74.8;0;50344;46853;93;3490
FPB-AC-S-8.7448W-69.6107;18522.250596;2185886.01127329;155.992873;8022201.661;29.26577181;14159;76.4;0;18526;14013;76;4514
FPB-AC-S-8.9127W-69.937;17343.170579;2707204.85414316;157.919612;9935441.815;32.01011561;10769;62.1;0;17318;17143;99;175
FPB-AC-S-8.9953W-69.2572;25772.968285;3440649.34284102;158.524441;12627183.09;30.02807357;23712;92;0;25766;21704;84;4062
FPB-AC-S-9.0335W-70.1918;43035.792811;6388277.15324331;150.444051;23444977.15;33.65893271;11422;26.5;0;43017;42463;99;554
FPB-AC-S-9.0563W-70.4097;637347.18326;91753040.6010832;161.926165;336733659;33.57333804;378523;59.4;0;637153;566635;89;70518
FPB-AC-S-9.1354W-69.6219;16417.504257;2518435.28413125;154.878175;9242657.493;31.06354009;15287;93.1;0;16387;16261;99;126
FPB-AM-S-0.2288W-62.9915;1550730.27778;109595979.568011;112.502726;402217245;24.88253415;1473525;95;0;974539;974163;100;376
FPB-AM-S-0.728W-59.3196;136060.486203;28426187.0872602;209.198284;104324106.6;33.30574417;119886;88.1;0;135892;135882;100;10
FPB-AM-S-0.7505W-59.8889;242426.068861;46410003.826466;195.931605;170324714;35.88342103;77747;32.1;3164.994605;238639;236868;99;1771
FPB-AM-S-0.9584W-64.5718;450499.233844;72303175.2224395;181.861167;265352653.1;12.09556579;449147;99.7;0;397716;397573;100;143
FPB-AM-S-0.9961W-63.1165;982586.583413;98821525.964873;118.638265;362675000.3;19.24251908;744338;75.8;0;833980;832965;100;1014
FPB-AM-S-1.3823W-59.9903;35883.28264;5948440.15975776;184.298261;21830775.39;36.27840112;22660;63.1;0;32302;32276;100;26
FPB-AM-S-1.3886W-64.052;1159504.38854;157530382.663932;142.95542;578136504.4;12.14350655;942634;81.3;0;1102095;1101955;100;141
FPB-AM-S-1.4718W-61.9539;99476.45693;15637343.3372429;163.760043;57389050.05;21.07632438;89592;90.1;0;95672;95489;100;183
FPB-AM-S-1.5418W-58.7971;727628.18421;131018460.174405;180.2415;480837748.8;43.28088498;725567;99.7;28.64221733;727467;726905;100;562
FPB-AM-S-1.5716W-58.3568;296965.637983;52547685.3085796;177.681333;192850005.1;49.8837699;229732;77.4;50.50856211;296387;295741;100;646
FPB-AM-S-1.5799W-59.937;20794.904292;2427575.20951608;159.456702;8909201.019;40.10080183;16189;77.9;0;15398;15224;99;174
FPB-AM-S-1.7113W-60.1885;10814.43134;1922810.55653124;203.871994;7056714.742;39.62910798;9925;91.8;1.875831351;10801;9431;87;1370
FPB-AM-S-1.7336W-61.3491;38450.910912;6491274.73841016;171.686376;23822978.29;29.34132124;1075;2.8;0;37959;37809;100;150
FPB-AM-S-1.7641W-59.4169;102195.922939;17038739.5086636;181.131288;62532174;46.06260741;68453;67;0;94441;94068;100;372
